x1,y1,x2,y2,x3,y3,x4,y4
246.93602,1190.6293,257.05383,1070.2329,145.27467,1070.7821,132.0,1191.0
362.2438,1190.2573,369.18457,1069.6819,257.05383,1070.2329,246.93602,1190.6293
477.9252,1189.8842,481.6685,1069.1292,369.18457,1069.6819,362.2438,1190.2573
593.982,1189.5098,594.5073,1068.5747,481.6685,1069.1292,477.9252,1189.8842
710.416,1189.1342,707.7027,1068.0184,594.5073,1068.5747,593.982,1189.5098
827.2291,1188.7573,821.2564,1067.4604,707.7027,1068.0184,710.416,1189.1342
944.42316,1188.3793,935.17,1066.9008,821.2564,1067.4604,827.2291,1188.7573
1062.0,1188.0,1049.4453,1066.3392,935.17,1066.9008,944.42316,1188.3793
257.05383,1070.2329,266.62726,956.31476,157.83617,957.023,145.27467,1070.7821
369.18457,1069.6819,375.75125,955.60425,266.62726,956.31476,257.05383,1070.2329
481.6685,1069.1292,485.20975,954.89166,375.75125,955.60425,369.18457,1069.6819
594.5073,1068.5747,595.0043,954.1768,485.20975,954.89166,481.6685,1069.1292
707.7027,1068.0184,705.1363,953.4598,595.0043,954.1768,594.5073,1068.5747
821.2564,1067.4604,815.6075,952.74054,705.1363,953.4598,707.7027,1068.0184
935.17,1066.9008,926.4194,952.0191,815.6075,952.74054,821.2564,1067.4604
1049.4453,1066.3392,1037.5735,951.2954,926.4194,952.0191,935.17,1066.9008
266.62726,956.31476,275.69904,848.36566,169.74045,849.21576,157.83617,957.023
375.75125,955.60425,381.9734,847.513,275.69904,848.36566,266.62726,956.31476
485.20975,954.89166,488.5649,846.6578,381.9734,847.513,375.75125,955.60425
595.0043,954.1768,595.47504,845.8,488.5649,846.6578,485.20975,954.89166
705.1363,953.4598,702.7052,844.9397,595.47504,845.8,595.0043,954.1768
815.6075,952.74054,810.2568,844.0768,702.7052,844.9397,705.1363,953.4598
926.4194,952.0191,918.13135,843.21124,810.2568,844.0768,815.6075,952.74054
1037.5735,951.2954,1026.3302,842.34314,918.13135,843.21124,926.4194,952.0191
275.69904,848.36566,284.30762,745.92847,181.03777,746.9052,169.74045,849.21576
381.9734,847.513,387.87732,744.94885,284.30762,745.92847,275.69904,848.36566
488.5649,846.6578,491.74823,743.9664,387.87732,744.94885,381.9734,847.513
595.47504,845.8,595.9217,742.9811,491.74823,743.9664,488.5649,846.6578
702.7052,844.9397,700.3989,741.9929,595.9217,742.9811,595.47504,845.8
810.2568,844.0768,805.18134,741.00183,700.3989,741.9929,702.7052,844.9397
918.13135,843.21124,910.2702,740.0079,805.18134,741.00183,810.2568,844.0768
1026.3302,842.34314,1015.667,739.011,910.2702,740.0079,918.13135,843.21124
284.30762,745.92847,292.48758,648.5915,191.77339,649.68134,181.03777,746.9052
387.87732,744.94885,393.4869,647.4985,292.48758,648.5915,284.30762,745.92847
491.74823,743.9664,494.77264,646.4024,393.4869,647.4985,387.87732,744.94885
595.9217,742.9811,596.34595,645.3032,494.77264,646.4024,491.74823,743.9664
700.3989,741.9929,698.2081,644.2009,596.34595,645.3032,595.9217,742.9811
805.18134,741.00183,800.36035,643.09546,698.2081,644.2009,700.3989,741.9929
910.2702,740.0079,902.80383,641.9868,800.36035,643.09546,805.18134,741.00183
1015.667,739.011,1005.5399,640.87506,902.80383,641.9868,910.2702,740.0079
292.48758,648.5915,300.27014,555.9831,201.98822,557.17413,191.77339,649.68134
393.4869,647.4985,398.8236,554.78876,300.27014,555.9831,292.48758,648.5915
494.77264,646.4024,497.6497,553.5911,398.8236,554.78876,393.4869,647.4985
596.34595,645.3032,596.7496,552.3902,497.6497,553.5911,494.77264,646.4024
698.2081,644.2009,696.1243,551.186,596.7496,552.3902,596.34595,645.3032
800.36035,643.09546,795.7752,549.97833,696.1243,551.186,698.2081,644.2009
902.80383,641.9868,895.70325,548.7674,795.7752,549.97833,800.36035,643.09546
1005.5399,640.87506,995.90967,547.55304,895.70325,548.7674,902.80383,641.9868
300.27014,555.9831,307.68362,467.7669,211.71922,469.04834,201.98822,557.17413
398.8236,554.78876,403.90686,466.482,307.68362,467.7669,300.27014,555.9831
497.6497,553.5911,500.38995,465.1936,403.90686,466.482,398.8236,554.78876
596.7496,552.3902,597.134,463.90173,500.38995,465.1936,497.6497,553.5911
696.1243,551.186,694.13995,462.60635,597.134,463.90173,596.7496,552.3902
795.7752,549.97833,791.409,461.3075,694.13995,462.60635,696.1243,551.186
895.70325,548.7674,888.94214,460.00507,791.409,461.3075,795.7752,549.97833
995.90967,547.55304,986.7405,458.69913,888.94214,460.00507,895.70325,548.7674
307.68362,467.7669,314.75366,383.63766,221.0,385.0,211.71922,469.04834
403.90686,466.482,408.7543,382.27173,314.75366,383.63766,307.68362,467.7669
500.38995,465.1936,503.0029,380.9022,408.7543,382.27173,403.90686,466.482
597.134,463.90173,597.5004,379.52905,503.0029,380.9022,500.38995,465.1936
694.13995,462.60635,692.2479,378.15228,597.5004,379.52905,597.134,463.90173
791.409,461.3075,787.2464,376.77185,692.2479,378.15228,694.13995,462.60635
888.94214,460.00507,882.4967,375.38776,787.2464,376.77185,791.409,461.3075
986.7405,458.69913,978.0,374.0,882.4967,375.38776,888.94214,460.00507
